x,y
-438636.284516,-1952095.8109
-438803.770221,-1952224.32721
-438971.255926,-1952352.84351
-439138.741631,-1952481.35981
-439306.227336,-1952609.87611
-439473.713041,-1952738.39241
-439641.198747,-1952866.90872
-439808.684452,-1952995.42502
-439976.170157,-1953123.94132
-440143.655862,-1953252.45762
-440311.141567,-1953380.97392
-440478.627272,-1953509.49022
-440646.112978,-1953638.00653
-440813.598683,-1953766.52283
-440981.084388,-1953895.03913
-441148.570093,-1954023.55543
-441307.240761,-1954145.30772
-441435.757063,-1954312.79342
-441564.273364,-1954480.27913
-441692.789666,-1954647.76483
-441821.305968,-1954815.25054
-441949.822269,-1954982.73624
-442078.338571,-1955150.22195
-442206.854873,-1955317.70765
-442335.371174,-1955485.19336
-442463.887476,-1955652.67906
-442592.403778,-1955820.16477
-442720.92008,-1955987.65047
-442849.436381,-1956155.13618
-442977.952683,-1956322.62188
-443106.468985,-1956490.10759
-443234.985286,-1956657.59329
-443363.501588,-1956825.079
-443492.01789,-1956992.5647
-443620.534191,-1957160.05041
-443742.286477,-1957318.72108
-443891.151063,-1957467.58566
-444040.015648,-1957616.45025
-444188.880234,-1957765.31483
-444337.744819,-1957914.17942
-444486.609405,-1958063.04401
-444635.47399,-1958211.90859
-444784.338576,-1958360.77318
-444933.203161,-1958509.63776
-445082.067747,-1958658.50235
-445230.932332,-1958807.36693
-445379.796918,-1958956.23152
-445528.661503,-1959105.0961
-445677.526089,-1959253.96069
-445826.390674,-1959402.82527
-445975.25526,-1959551.68986
-446124.119845,-1959700.55445
-446272.984431,-1959849.41903
-446421.849016,-1959998.28362
-446570.713602,-1960147.1482
-446570.713602,-1960147.1482
-446753.541187,-1960252.70376
-446936.368772,-1960358.25931
-447119.196358,-1960463.81487
-447302.023943,-1960569.37042
-447484.851528,-1960674.92598
-447667.679113,-1960780.48153
-447850.506699,-1960886.03709
-448033.334284,-1960991.59265
-448216.161869,-1961097.1482
-448398.989454,-1961202.70376
-448581.81704,-1961308.25931
-448764.644625,-1961413.81487
-448947.47221,-1961519.37042
-449130.299795,-1961624.92598
-449313.127381,-1961730.48153
-449495.954966,-1961836.03709
-449678.782551,-1961941.59265
-449861.610136,-1962047.1482
-450034.815217,-1962147.1482
-450243.540451,-1962174.6274
-450452.265685,-1962202.1066
-450660.990919,-1962229.5858
-450869.716153,-1962257.065
-451078.441387,-1962284.54419
-451287.166621,-1962312.02339
-451495.891855,-1962339.50259
-451704.617089,-1962366.98179
-451913.342323,-1962394.46099
-452122.067557,-1962421.94019
-452330.792791,-1962449.41938
-452539.518025,-1962476.89858
-452748.243259,-1962504.37778
-452956.968493,-1962531.85698
-453165.693727,-1962559.33618
-453374.418961,-1962586.81538
-453583.144195,-1962614.29457
-453791.869429,-1962641.77377
-454000.594662,-1962669.25297
-454000.594663,-1962669.25297
-454209.899689,-1962696.8085
-454419.204716,-1962724.36403
-454628.509742,-1962751.91956
-454837.814768,-1962779.47509
-455047.119794,-1962807.03062
-455256.424821,-1962834.58615
-455465.729847,-1962862.14168
-455675.034873,-1962889.69721
-455884.3399,-1962917.25274
-456093.644926,-1962944.80827
-456302.949952,-1962972.3638
-456512.254978,-1962999.91932
-456721.560005,-1963027.47485
-456930.865031,-1963055.03038
-457140.170057,-1963082.58591
-457349.475084,-1963110.14144
-457558.78011,-1963137.69697
-457768.085136,-1963165.2525
-457966.374108,-1963191.35774
-458169.726914,-1963136.86952
-458373.079719,-1963082.3813
-458576.432525,-1963027.89308
-458779.78533,-1962973.40486
-458983.138136,-1962918.91664
-459186.490941,-1962864.42842
-459389.843747,-1962809.9402
-459593.196552,-1962755.45198
-459796.549358,-1962700.96376
-459999.902163,-1962646.47554
-460203.254969,-1962591.98732
-460406.607774,-1962537.4991
-460609.96058,-1962483.01088
-460813.313385,-1962428.52266
-461016.666191,-1962374.03444
-461220.018996,-1962319.54622
-461423.371802,-1962265.058
-461626.724607,-1962210.56978
-461830.077413,-1962156.08156
-461830.077413,-1962156.08156
-462038.802647,-1962128.60236
-462247.527881,-1962101.12316
-462456.253115,-1962073.64396
-462664.978349,-1962046.16477
-462873.703583,-1962018.68557
-463082.428817,-1961991.20637
-463291.154051,-1961963.72717
-463499.879285,-1961936.24797
-463708.604519,-1961908.76877
-463917.329753,-1961881.28958
-464126.054987,-1961853.81038
-464334.780221,-1961826.33118
-464543.505455,-1961798.85198
-464752.230689,-1961771.37278
-464960.955923,-1961743.89358
-465169.681157,-1961716.41438
-465378.406391,-1961688.93519
-465587.131625,-1961661.45599
-465795.856858,-1961633.97679
-465795.856859,-1961633.97679
-465999.774533,-1961579.33721
-466203.692208,-1961524.69764
-466407.609882,-1961470.05806
-466611.527557,-1961415.41848
-466815.445231,-1961360.77891
-467019.362906,-1961306.13933
-467223.28058,-1961251.49976
-467427.198255,-1961196.86018
-467631.115929,-1961142.2206
-467835.033603,-1961087.58103
-468038.951278,-1961032.94145
-468242.868952,-1960978.30188
-468446.786627,-1960923.6623
-468650.704301,-1960869.02272
-468854.621976,-1960814.38315
-469058.53965,-1960759.74357
-469262.457325,-1960705.104
-469466.374999,-1960650.46442
-469659.560164,-1960598.70061
-469870.08648,-1960598.70061
-470080.612796,-1960598.70061
-470291.139111,-1960598.70061
-470501.665427,-1960598.70061
-470712.191743,-1960598.70061
-470922.718059,-1960598.70061
-471133.244375,-1960598.70061
-471343.77069,-1960598.70061
-471554.297006,-1960598.70061
-471764.823322,-1960598.70061
-471975.349638,-1960598.70061
-472185.875953,-1960598.70061
-472396.402269,-1960598.70061
-472606.928585,-1960598.70061
-472817.454901,-1960598.70061
-473027.981217,-1960598.70061
-473238.507532,-1960598.70061
-473449.033848,-1960598.70061
-473659.560164,-1960598.70061
-473659.560164,-1960598.70061
-473870.08648,-1960598.70061
-474080.612796,-1960598.70061
-474291.139111,-1960598.70061
-474501.665427,-1960598.70061
-474712.191743,-1960598.70061
-474922.718059,-1960598.70061
-475133.244375,-1960598.70061
-475343.77069,-1960598.70061
-475554.297006,-1960598.70061
-475764.823322,-1960598.70061
-475975.349638,-1960598.70061
-476185.875953,-1960598.70061
-476396.402269,-1960598.70061
-476606.928585,-1960598.70061
-476817.454901,-1960598.70061
-477027.981217,-1960598.70061
-477238.507532,-1960598.70061
-477449.033848,-1960598.70061
-477659.560164,-1960598.70061
-477659.560164,-1960598.70061
-477868.86519,-1960626.25614
-478078.170217,-1960653.81167
-478287.475243,-1960681.3672
-478496.780269,-1960708.92273
-478706.085295,-1960736.47826
-478915.390322,-1960764.03379
-479124.695348,-1960791.58932
-479334.000374,-1960819.14485
-479543.305401,-1960846.70038
-479752.610427,-1960874.25591
-479961.915453,-1960901.81143
-480171.220479,-1960929.36696
-480380.525506,-1960956.92249
-480589.830532,-1960984.47802
-480799.135558,-1961012.03355
-481008.440585,-1961039.58908
-481217.745611,-1961067.14461
-481427.050637,-1961094.70014
-481625.339609,-1961120.80538
-481828.692415,-1961066.31716
-482032.04522,-1961011.82894
-482235.398026,-1960957.34072
-482438.750831,-1960902.8525
-482642.103637,-1960848.36428
-482845.456442,-1960793.87606
-483048.809248,-1960739.38784
-483252.162053,-1960684.89962
-483455.514859,-1960630.4114
-483658.867664,-1960575.92318
-483862.22047,-1960521.43496
-484065.573275,-1960466.94674
-484268.926081,-1960412.45852
-484472.278886,-1960357.9703
-484675.631692,-1960303.48208
-484878.984497,-1960248.99386
-485082.337303,-1960194.50564
-485285.690109,-1960140.01742
-485489.042914,-1960085.5292
-485489.042915,-1960085.5292
-485698.347941,-1960113.08473
-485907.652968,-1960140.64026
-486116.957994,-1960168.19579
-486326.26302,-1960195.75132
-486535.568046,-1960223.30685
-486744.873073,-1960250.86238
-486954.178099,-1960278.4179
-487163.483125,-1960305.97343
-487372.788152,-1960333.52896
-487582.093178,-1960361.08449
-487791.398204,-1960388.64002
-488000.70323,-1960416.19555
-488210.008257,-1960443.75108
-488419.313283,-1960471.30661
-488628.618309,-1960498.86214
-488837.923336,-1960526.41767
-489047.228362,-1960553.9732
-489256.533388,-1960581.52873
-489454.82236,-1960607.63397
-489663.547594,-1960635.11317
-489872.272828,-1960662.59236
-490080.998062,-1960690.07156
-490289.723296,-1960717.55076
-490498.44853,-1960745.02996
-490707.173764,-1960772.50916
-490915.898998,-1960799.98836
-491124.624232,-1960827.46755
-491333.349466,-1960854.94675
-491542.0747,-1960882.42595
-491750.799934,-1960909.90515
-491959.525168,-1960937.38435
-492168.250402,-1960964.86355
-492376.975636,-1960992.34274
-492585.70087,-1961019.82194
-492794.426104,-1961047.30114
-493003.151338,-1961074.78034
-493211.876572,-1961102.25954
-493420.601805,-1961129.73874
-493420.601806,-1961129.73874
-493615.10276,-1961210.30367
-493809.603714,-1961290.8686
-494004.104669,-1961371.43353
-494198.605623,-1961451.99847
-494393.106577,-1961532.5634
-494587.607531,-1961613.12833
-494782.108485,-1961693.69327
-494976.60944,-1961774.2582
-495171.110394,-1961854.82313
-495365.611348,-1961935.38807
-495560.112302,-1962015.953
